protein_id,graph_filename
Q9HCP0,seq-83fdf9dc3039c42339bc941a0847a1c3.pt
Q9NWZ3,seq-7268c70554be57a866fd90ed8056f69b.pt
Q9NYL2,seq-5513e71898116cb80bd20c78c2d37f1a.pt
Q9P1W9,seq-68b99c3e1ac5798d34d84de46a1bf420.pt
Q9UEE5,seq-2d08539d96bfcf232fef5c4c1b6fdb30.pt
Q9UM73,seq-638c4a64d52d6951aeba1a615d93068f.pt
Q9Y243,seq-9c8ee75c7abd6c87bd994f32741fc53c.pt
Q9Y6M4,seq-bb69344caee31e39f3db73bccdcb9171.pt
P31749,seq-1620296e269940b19bafa78ca71e003a.pt
Q99683,seq-49017c1dc95d13d5dd4af20ad30b764b.pt
P04049,seq-d231d020cb5d921e3a7c5bbe10089245.pt
P07947,seq-cfa5e46a13b97a4e61374b1180cfc383.pt
P08631,seq-c699ae0a92fc5cd855420130fb067bab.pt
P16234,seq-312ca57791f95f6dc515db8edb69595a.pt
P22455,seq-0c799cd8eb4a963b013291894bf69e69.pt
P27361,seq-8501faf469e77a9fbdc0166f5a18bcf6.pt
P36888,seq-5d3aedc2cdcf7b145380ccd8e677b1fa.pt
P41240,seq-64016a73cb830d06c4225bede18f3ee5.pt
P43403,seq-e3b2d80f9b7f4b32b0d58fa7a52e2d11.pt
P51813,seq-9c91e351def88da35f1a3e60c94dfb6b.pt
P52564,seq-6a0ad3089d5b24496d0b195f03858630.pt
Q02750,seq-f551ff58c2776de1376b4f8830643b0f.pt
Q04759,seq-bffe28f8aa424873f7864a842f842f72.pt
Q04912,seq-fc6a0ba2b38224e46ec7c739be097fd7.pt
Q15418,seq-b042873d6b5cb29dcaf26721af6c5995.pt
Q15759,seq-13340b7f92d71f6bb33b5af0d941e3cd.pt
Q16566,seq-52f3eb8fa3a33513cddf950ecbd2a286.pt
Q8IU85,seq-82c96c351a3b58cbca8fed3796ac306a.pt
Q9UHD2,seq-ea019cf79d039a451dece6c8a25e0050.pt
O60285,seq-572e4a542b2a0965f318925d94d9bd0d.pt
O75676,seq-e855d2b1a5703611f79ea65ce6f048da.pt
P08581,seq-ee0753c4f68e188bddb0c66890beee23.pt
P09769,seq-408c333701ec7e889d495aeb32d7ae10.pt
P17948,seq-899418d99797aa41d4bc8cc50361b11e.pt
P21802,seq-8278583234a3eda2a192d8bb50e1fab8.pt
P30530,seq-362e54774b909b6b783ca54be8166e47.pt
P50750,seq-2dec54fb2329f1ded5671e4a5c94123e.pt
Q13177,seq-8df8e84eba129585f62ad70d760b1689.pt
Q13882,seq-6402bc6a0f336e0ccb7bf6035eb7eca6.pt
Q14289,seq-eff74a513866fff089a223c2f581c47b.pt
Q15139,seq-59b5717aef295bfdaba454042788fe8c.pt
Q9UBE8,seq-cf3cb484bd512a68f0d48eb1cc28c895.pt
Q12866,seq-ecf54d89a60264a682a4dfc85a7ade07.pt
Q14164,seq-d7cb57dfd70769758593c4ff8882c5dd.pt
P19784,seq-e1b98e9e9860af72c52228381c77726c.pt
P22694,seq-c636ab9e52c09404269d250fc260150c.pt
P54646,seq-d2338540fce8e2755f238b1d5066a1a4.pt
O00444,seq-2b7018a774a883c2c7404de9d40e9a42.pt
P53667,seq-34b17396116c8742909b0facca8bd675.pt
Q07912,seq-1e6544f1539195eeda77573e594ae6bf.pt
Q9HBH9,seq-092ddc60cd051dfc46de654c56f0466b.pt
Q9BWU1,seq-44f844fe30f2e4338cf57ed9d1f5f6c3.pt
P11802,seq-f2274c019b864269cc028c5a676ebcb7.pt
Q02156,seq-d7ee634af51ee43a99fa384563ca54f2.pt
O00329,seq-69f91a46a5356658458e344ea4a78bca.pt
P42338,seq-c537c319ba44771c70857064839b3689.pt
P48736,seq-a09c33bf46654db6fad51846f9219e6c.pt
P29376,seq-f3a0bdc4353e4ea4a196667871ac3d6d.pt
P36507,seq-295f0645dd81840477341044a84d1c19.pt
P49336,seq-ffa33b20a6193bbcabaca30bbccb53be.pt
Q04771,seq-a96cc1fde4a63ebc48b949b16e580fc2.pt
Q5S007,seq-9881e7f1fbeb971605a72097fd1e8f74.pt
Q9UQM7,seq-396fb1c0679818238c7a4f02b2f5483e.pt
Q9Y463,seq-8be8a7f8e1c9ca3efbd704414e0c0723.pt
P50613,seq-efac0ba2abc8f0b14c6b6689a0f2d676.pt
Q9P289,seq-1b3c30c557eb4bf28243fad1bdd2c8b3.pt
Q02779,seq-68890ebfbaef7a43297d6a7c4324f0fb.pt
Q96L34,seq-8cfa04da6ce00d2a070a4ba9e758c1a3.pt
Q96RR4,seq-23f08ee4173e567e6519e62e221a89a5.pt
Q9H0K1,seq-3c7cd7c9bc03665bd79e1c91b2e3349f.pt
Q9HC98,seq-62e9af939ba47084598b1661c0691b0e.pt
P49674,seq-7f34fb4ef08d9050f8fe27c6d6f995bb.pt
P23458,seq-933420e3eac5be8b1760cde731133e4a.pt
P42345,seq-d3be1a657b7fdb5ab4c03e12d4452164.pt
Q9BUB5,seq-c9be1bd12301019f6ee750057c8bf2d3.pt
P49759,seq-eb68eedd814790f1bcd916dd9ff50be2.pt
Q9UBF8,seq-5468b76ef67ee32a99c84edd63e82b88.pt
Q16512,seq-3493f966633c0810d7651f97b71543bf.pt
